Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate,Total Worker Debt,Average Debt per Worker,Workers in Debt,Debt to Income Ratio,Bankrupt Workers,Total Debt Payments,Gini Coefficient,Long-term Unemployed,Long-term Unemployment Rate,Employed Workers,Net Worker Wealth,High Skill Workers,Medium Skill Workers,Low Skill Workers,Firm Owners
0.0,0.0,0.0,0.0,1.0,1.0,0.0,38382.47048715096,0.4191912352435755,5524441.146151281,0.0,0.0,0.0,0,0.0,0,0.0,0.6211576288403005,0,0.0,0,5524441.146151281,222,289,989,61
0.0,42963.66701376859,0.0,1.0,0.964,1.001298127442859,265759.40064888785,114626.19047106258,0.44379221860243934,6203920.97713868,0.2880912359079388,38515.93097703736,25.677287318024906,185,0.0009957700129094623,0,3700.0,0.7196153015346067,0,0.0,54,6165405.046161643,222,289,989,61
23231.9555084851,84276.7342236271,32473.409752627147,0.7218555057265549,0.926,1.0012600321708907,512637.3980347392,191246.07653069182,0.4695177549543687,6950410.248841815,0.31645069918678476,153494.6119660359,102.32974131069061,414,0.003628668900058311,0,8280.0,0.7672483594896445,0,0.0,111,6796915.636875778,222,289,989,61
51850.39063980998,129900.78150845737,71915.53830499637,0.6436584594770604,0.888,1.0008799145965699,843625.5361708292,270636.0309366179,0.4977810946061779,7884800.50013497,0.318386372150612,345337.09433366073,230.22472955577382,600,0.003928051068775001,0,12193.041236349478,0.7932358027168198,0,0.0,168,7539463.405801309,222,289,989,61
79591.1357808369,182693.95250859432,110809.31627927332,0.6224596859281938,0.844,1.0016301476607594,1191374.1044700597,342511.57282357203,0.5213151478136032,9185969.120350054,0.31061470944842146,617257.6077169335,411.505071811289,828,0.007209694443155376,0,18128.02768327,0.7961979494970921,0,0.0,234,8568711.51263312,222,289,989,61
107463.8919814963,227333.33282763022,149167.2906353579,0.6038059930330453,0.8046666666666666,1.0027761014022147,1492794.8236040722,351374.4848024413,0.5167016270082377,10290112.411968935,0.32230153541124645,961634.4447854386,641.089629856959,960,0.010739050563556892,0,23662.04661427927,0.7875120967708177,0,0.0,293,9328477.967183497,222,289,989,61
140995.66864849898,270231.43605517276,196014.14045861855,0.5795903482361069,0.7653333333333333,1.0040775946408054,1769684.890870315,344008.6536271026,0.5043127710170002,11369371.21968214,0.32668121328948724,1315271.3462037183,876.8475641358123,983,0.015574015519333862,0,28428.618785960916,0.7727117466356013,0,0.0,352,10054099.873478422,222,289,989,61
171757.39631656907,310112.7169380591,238684.4196771786,0.5650771409827516,0.7306666666666667,1.0037263796089697,1997953.899593791,336126.21951969113,0.4937189626732077,12374153.950691132,0.32499067356105504,1661530.3922583044,1107.686928172203,996,0.019388771058849043,0,34434.796155132906,0.7587632611589945,0,0.0,404,10712623.558432827,222,289,989,61
195893.93004744867,346127.3351087489,272514.87685779715,0.5594951789799081,0.6986666666666667,1.0037959161200352,2247189.5562927406,336720.41913560074,0.4870342032578884,13198168.874708017,0.32775963217682513,1999823.4648715628,1333.2156432477086,1015,0.023672152087663975,0,41280.590284087935,0.74658680432154,0,0.0,452,11198345.409836456,222,289,989,61
221593.52887268836,382931.6226796008,308266.06420951575,0.5540117247832045,0.6673333333333333,1.0032626091010832,2501099.0276006125,336400.3380016615,0.48044182055730483,14054230.67512764,0.32786176852669746,2338561.660143409,1559.0411067622726,1039,0.02727977635949894,0,48150.23309379738,0.7331118817469013,0,0.0,499,11715669.014984231,222,289,989,61
