,Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate,Total Worker Debt,Average Debt per Worker,Workers in Debt,Debt to Income Ratio,Bankrupt Workers,Total Debt Payments,Gini Coefficient,Long-term Unemployed,Long-term Unemployment Rate,Employed Workers,Net Worker Wealth
0,4395.701304960392,28529.24005826626,20796.366525010664,0.5783859953166527,0.962,0.9999559576755315,8825.75513771871,0.0,0.20106666666666667,1157985.331464621,0.3739614712646253,761026.9122219926,507.35127481466174,657,0.02191438073704167,0,14271.309226319656,0,0,0.0,57,396958.4192426283
1,19208.487672612013,58731.316972379864,42046.874498493584,0.5827780407168169,0.924,0.9999797043004662,19753.76456247519,0.0,0.21173333333333336,936206.1454860077,0.3686718083355932,982091.2489238712,654.7274992825808,753,0.01989622424845169,0,18117.90348596556,0,0,0.0,114,-45885.10343786349
2,34639.7584472978,91893.81362161037,65338.53824332658,0.5844459650425342,0.88,0.9998556245126933,31980.1224946747,0.0,0.22093333333333331,764971.7789574413,0.3674755739016072,1228889.8284792409,819.2598856528273,838,0.024602614054350744,0,22733.256126006792,0,0,0.0,180,-463918.04952179955
3,53506.22993683645,130377.81137322816,92673.98275688943,0.5845181020923422,0.83,1.000302202919959,46113.84657289295,0.0,0.22826666666666665,638749.0116622949,0.36886363099158676,1493363.5974473795,995.5757316315863,911,0.02789258232614677,0,27692.727212581034,0,0,0.0,255,-854614.5857850848
4,68982.4893077087,167854.39774781893,116885.2660710528,0.5895012851268739,0.782,1.0002672580043668,59249.90295969941,0.0,0.23453333333333334,557529.002759575,0.3652234548942311,1770405.2262000542,1180.2701508000362,987,0.033542357795051325,0,32820.38818722222,0,0,0.0,327,-1212876.223440479
5,83534.40608099879,206013.81839018915,142309.0957770454,0.5914449208221746,0.734,1.0003276971779336,72187.90038865342,0.0,0.242,516132.87170198344,0.3641842005315251,2056365.2199239966,1370.9101466159977,1050,0.03688730695311238,0,38430.532458199195,0,0,0.0,399,-1540232.3482220133
6,93293.04711398685,234223.46538824023,160729.45713282755,0.5930414792050214,0.696,1.000403243313435,81751.18261248115,0.0,0.2437333333333333,517429.0927214522,0.363220030301177,2353530.8040385838,1569.0205360257225,1128,0.04156396417010536,0,44113.71532740185,0,0,0.0,456,-1836101.7113171313
7,101878.81582273358,259617.4471437385,175934.27981201684,0.5960657048895394,0.6613333333333333,1.000379467129977,90477.19763962393,431.70350091147014,0.2458,551103.2969133686,0.36103654481102126,2661689.705770636,1774.4598038470906,1175,0.04449598547159348,0,50339.67805255511,0,0,0.0,508,-2110586.4088572673
8,110226.22885693879,286318.0591704326,193314.8885002926,0.5969524415720373,0.6286666666666667,1.0012259935130867,99101.23011677718,1259.314928834874,0.24624446830172136,609305.554608373,0.3603104086592588,2975579.557213317,1983.719704808878,1209,0.04765549332213477,0,56263.267748114755,0,0,0.0,557,-2366274.002604944
9,114157.25604789225,299878.0695213059,201664.31324410462,0.5979117215734282,0.6106666666666667,1.0010791108546746,103367.3969484728,4016.1142207282887,0.24753333333333333,685701.1595747978,0.3601512996974237,3286067.689152675,2190.7117927684503,1229,0.05042324298571439,1,62204.1665608913,0,0,0.0,584,-2600366.5295778774
10,114151.43455788301,307196.93894862133,205822.58762967528,0.5988016499051079,0.6006666666666667,1.0004759874586457,105089.59129071407,8950.273538829862,0.2468359589672782,771240.377842659,0.35972085241159213,3596917.99521927,2397.94533014618,1247,0.052420175158309976,3,68081.39675754703,0,0,0.0,599,-2825677.617376611
11,114545.49788324162,313569.37094028643,210031.6268789296,0.598870842963047,0.592,1.0008118313980867,107043.84770478396,18424.432621283908,0.2487578790122509,863649.4040137581,0.3595128174141782,3909957.8444992914,2606.6385629995275,1254,0.054228502353543574,7,74177.31123203966,0,0,0.0,612,-3046308.440485533
